pair_key,source_video,emotion,n_active,AU101,AU143,AU145,AU109,AU110,AU12,AU116,AU118,AU25,AU26,AU27,AD19,AD33,AD35,AD37,AD137,EAD101,EAD102,EAD103,EAD104,EAD105
DOGS/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor_t0_000325.jpg,mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor,neutral,15,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0
DOGS/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor_t0_000425.jpg,mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor,neutral,13,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0
DOGS/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor_t0_000250.jpg,mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor,neutral,11,0,1,1,1,1,1,0,1,0,0,0,0,1,,1,1,0,1,0,1,0
DOGS/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor_t0_000084.jpg,mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor_t0_000120.jpg,mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor,relaxed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiktok_playlist_nareski/1lmeeWDvv4o_000110/1lmeeWDvv4o_000110_t0_000085.jpg,1lmeeWDvv4o_000110,neutral,15,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1
tiktok_playlist_nareski/1lmeeWDvv4o_000110/1lmeeWDvv4o_000110_t0_000040.jpg,1lmeeWDvv4o_000110,neutral,4,0,0,,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000072.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,14,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,,1
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000406.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,8,,0,0,0,,1,1,1,,1,0,,1,0,1,0,1,0,,1,
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000360.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,7,0,0,0,0,0,1,,1,1,,1,0,1,0,1,0,,0,0,1,
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000504.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,6,0,,0,0,0,0,1,0,1,1,1,0,1,0,1,,0,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000232.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,5,1,0,0,0,1,0,0,,0,1,1,1,0,0,0,,,0,0,0,
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000319.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,5,,0,0,0,,0,1,0,1,1,1,0,0,0,,0,0,0,0,1,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000018.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,5,0,0,0,0,0,0,1,0,1,1,1,,1,0,0,0,0,,0,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000319.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,5,0,0,0,0,,,1,,1,1,1,0,0,0,1,0,,0,0,0,
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000116.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,4,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,0,1,0,1,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000270.jpg,mixkit-14245__dogs-playing-in-the-forest,surprise,4,,,0,0,1,0,,0,1,,1,0,,0,,0,,,0,1,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000342.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,4,0,0,0,0,0,1,1,1,,,,0,0,0,1,0,0,0,0,0,0
