pair_key,source_video,emotion,label_source,annotator,AU101,AU143,AU145,AU109,AU110,AU12,AU116,AU118,AU25,AU26,AU27,AD19,AD33,AD35,AD37,AD137,EAD101,EAD102,EAD103,EAD104,EAD105
DOGS/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor_t0_000325.jpg,mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor,neutral,auto_model,,0,,,,,0,0,0,0,1,0,0,,,,,,,,,1
DOGS/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor_t0_000425.jpg,mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor,neutral,auto_model,,0,,,,,0,1,0,1,1,0,0,,,,,,,,,1
DOGS/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor_t0_000250.jpg,mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor,neutral,auto_model,,0,,,,,0,0,0,0,1,0,0,,,,,,,,,1
DOGS/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor_t0_000084.jpg,mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor/mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor_t0_000120.jpg,mixkit-34639__toy-terrier-taking-a-sunbath-in-the-floor,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000110/1lmeeWDvv4o_000110_t0_000085.jpg,1lmeeWDvv4o_000110,neutral,auto_model,,0,,,,,0,0,0,0,1,0,1,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000110/1lmeeWDvv4o_000110_t0_000040.jpg,1lmeeWDvv4o_000110,neutral,auto_model,,0,,,,,0,0,0,0,0,1,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000072.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000406.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,human_verified,danek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000360.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,1,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000504.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
