pair_key,annotator,breed,emotion,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,kp4_x,kp4_y,kp4_v,kp5_x,kp5_y,kp5_v,kp6_x,kp6_y,kp6_v,kp7_x,kp7_y,kp7_v,kp8_x,kp8_y,kp8_v,kp9_x,kp9_y,kp9_v,kp10_x,kp10_y,kp10_v,kp11_x,kp11_y,kp11_v,kp12_x,kp12_y,kp12_v,kp13_x,kp13_y,kp13_v,kp14_x,kp14_y,kp14_v,kp15_x,kp15_y,kp15_v,kp16_x,kp16_y,kp16_v,kp17_x,kp17_y,kp17_v,kp18_x,kp18_y,kp18_v,kp19_x,kp19_y,kp19_v,kp20_x,kp20_y,kp20_v,kp21_x,kp21_y,kp21_v,kp22_x,kp22_y,kp22_v,kp23_x,kp23_y,kp23_v,kp24_x,kp24_y,kp24_v,kp25_x,kp25_y,kp25_v,kp26_x,kp26_y,kp26_v,kp27_x,kp27_y,kp27_v,kp28_x,kp28_y,kp28_v,kp29_x,kp29_y,kp29_v,kp30_x,kp30_y,kp30_v,kp31_x,kp31_y,kp31_v,kp32_x,kp32_y,kp32_v,kp33_x,kp33_y,kp33_v,kp34_x,kp34_y,kp34_v,kp35_x,kp35_y,kp35_v,kp36_x,kp36_y,kp36_v,kp37_x,kp37_y,kp37_v,kp38_x,kp38_y,kp38_v,kp39_x,kp39_y,kp39_v,kp40_x,kp40_y,kp40_v,kp41_x,kp41_y,kp41_v,kp42_x,kp42_y,kp42_v,kp43_x,kp43_y,kp43_v,kp44_x,kp44_y,kp44_v,kp45_x,kp45_y,kp45_v,AU101,AU143,AU145,AU109,AU110,AU12,AU116,AU118,AU25,AU26,AU27,AD19,AD33,AD35,AD37,AD137,EAD101,EAD102,EAD103,EAD104,EAD105
DOGS/coverr-79CsLIfd1J__a-couple-walks-with-their-dog-in-the-city/coverr-79CsLIfd1J__a-couple-walks-with-their-dog-in-the-city_t0_000046.jpg,masha,collie,happy,-0.114044,-0.142077,0.8238,0.09611,-0.159326,0.849,-0.151175,-0.072719,0.8031,0.140946,-0.103528,1.0118,-0.175053,0.000996,0.9115,0.174887,-0.035047,0.8774,-0.238126,0.075163,0.9341,0.230932,0.031707,0.8904,-0.240657,-0.02741,0.9507,0.239905,-0.053474,0.8766,-0.222372,-0.114687,0.8468,0.202359,-0.139796,0.8909,-0.134373,-0.136232,0.7781,0.111853,-0.178881,0.7921,-0.047929,-0.111966,0.8689,0.004105,-0.117206,0.9098,-0.068028,-0.040562,0.9936,0.049853,-0.054817,0.9311,-0.10479,-0.039105,1.0,0.089256,-0.060736,0.9137,-0.086336,-0.052483,0.9689,0.066232,-0.070531,0.9498,-0.086679,-0.029595,0.9675,0.072939,-0.048307,0.9587,-0.003089,-0.015456,0.9718,0.002473,0.025248,0.9437,-0.030715,0.035563,0.9757,0.036998,0.028433,0.9787,-0.035694,-0.006332,0.945,0.030689,-0.013331,0.9645,-0.082272,0.006017,0.9458,0.077826,-0.012659,0.9412,0.006663,0.059997,0.9331,-0.030975,0.064319,0.9658,0.044139,0.056561,0.9433,0.011003,0.097419,0.9475,-0.05949,0.071298,0.8913,0.069047,0.057656,0.8802,0.012958,0.114291,0.9729,-0.098501,0.0803,0.989,0.109218,0.048904,0.9819,0.035189,0.235655,0.707,0.035486,0.24231,0.6831,-0.042809,0.119972,0.9835,0.065648,0.109209,1.0588,0.040867,0.238729,1.0184,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
DOGS/coverr-79CsLIfd1J__a-couple-walks-with-their-dog-in-the-city/coverr-79CsLIfd1J__a-couple-walks-with-their-dog-in-the-city_t0_000184.jpg,masha,collie,happy,-0.101341,-0.157303,0.8357,0.084084,-0.193113,0.8832,-0.137162,-0.116139,0.62,0.133569,-0.147982,0.8485,-0.171005,-0.048395,0.9114,0.173967,-0.084018,0.7835,-0.190519,-6e-05,0.9316,0.233725,-0.017998,0.9275,-0.171553,-0.03387,0.7157,0.229227,-0.107265,0.8737,-0.149455,-0.065934,0.5772,0.195241,-0.186074,0.8861,-0.128214,-0.078109,0.6525,0.099059,-0.21387,0.7885,-0.048628,-0.11833,0.8033,0.000863,-0.123512,0.7785,-0.067432,-0.04762,1.0199,0.044568,-0.061407,0.9424,-0.09611,-0.047736,0.9956,0.083286,-0.07315,1.0025,-0.082641,-0.059274,1.0077,0.059932,-0.079045,0.9874,-0.081916,-0.037817,0.9787,0.066769,-0.057645,0.9317,-0.014433,0.002945,0.9754,-0.016409,0.059728,0.9859,-0.046607,0.069365,0.9716,0.01783,0.062027,1.0025,-0.044724,0.01262,0.9199,0.01846,0.006489,0.9579,-0.078351,-0.001156,0.9274,0.071401,-0.020466,0.9036,-0.01369,0.095231,0.9955,-0.045565,0.100083,0.9608,0.023498,0.091246,0.986,-0.007865,0.12555,1.0106,-0.063529,0.094523,0.9189,0.054625,0.077645,0.8434,-0.005469,0.135977,1.0365,-0.078871,0.080997,0.8383,0.11895,0.017295,0.9625,0.005008,0.210486,0.7548,0.006744,0.220424,0.8029,-0.043367,0.132283,0.9149,0.053557,0.118325,0.9049,0.00627,0.278266,0.9866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/coverr-DdeaOJPiyM__golden-retriever-and-border-collie/coverr-DdeaOJPiyM__golden-retriever-and-border-collie_t0_000069.jpg,danek,golden retriever,neutral,-0.099188,-0.136988,0.9428,0.08122,-0.081465,0.0,-0.141504,-0.101086,0.8593,0.092494,-0.057966,0.0,-0.1688,-0.046137,0.8874,0.102279,-0.045,0.0,-0.234601,0.002842,0.8464,0.113115,-0.04055,0.0,-0.245805,-0.074372,0.8974,0.11336,-0.048817,0.0,-0.225841,-0.152027,0.8284,0.102635,-0.072356,0.0,-0.106629,-0.163079,0.87,0.082311,-0.08897,0.0,0.055718,-0.080887,0.5452,0.074812,-0.06963,0.5984,0.030887,-0.057084,0.8964,0.077507,-0.03671,0.0,-0.006082,-0.07766,0.886,0.090739,-0.035393,0.0,0.018995,-0.076725,0.8753,0.085008,-0.041502,0.0,0.009116,-0.060446,0.8727,0.084272,-0.027108,0.0,0.077821,0.009181,0.6769,0.122212,0.063395,0.8544,0.100002,0.060218,0.8724,0.135816,0.070291,0.7689,0.056027,0.006601,0.7819,0.097862,0.017055,0.6598,0.000216,-0.036115,0.7653,0.087417,-0.01133,0.7091,0.119492,0.084099,0.8236,0.094591,0.077626,0.9046,0.133155,0.087873,0.7673,0.111033,0.099356,0.7716,0.033454,0.059925,0.5046,0.13502,0.088551,0.4696,0.105107,0.104446,0.0,-0.073031,0.00614,0.8809,0.051795,0.118142,0.0,0.018559,0.168411,0.7026,-0.000145,0.163035,0.6538,0.012143,0.092405,0.7038,0.117134,0.104802,0.0,0.027025,0.236409,0.4919,,,,,,,,,,,,,,,,,,,,,
DOGS/coverr-GILyJwszFN__sitting-on-the-couch-with-dog/coverr-GILyJwszFN__sitting-on-the-couch-with-dog_t0_000120.jpg,danek,toy poodle,neutral,-0.201645,-0.236048,0.3744,0.075109,-0.188677,0.4937,-0.252567,-0.144767,0.5224,0.090226,-0.095059,0.6027,-0.251723,-0.06408,0.4648,0.090377,-0.02135,0.6821,-0.329344,-0.011481,0.3467,0.117284,0.05791,0.8921,-0.38278,-0.134787,0.4275,0.131379,-0.011196,0.8359,-0.365853,-0.234388,0.345,0.122386,-0.091253,0.7252,-0.243232,-0.269188,0.4463,0.098745,-0.177443,0.514,-0.057714,-0.154373,0.6425,0.006408,-0.150842,0.5503,-0.077833,-0.067671,0.8237,0.038799,-0.064439,0.938,-0.126515,-0.079061,0.7434,0.071714,-0.070079,0.9085,-0.10102,-0.089107,0.8564,0.053356,-0.079166,0.9037,-0.102738,-0.059423,0.8534,0.05694,-0.055364,0.9169,0.014554,-0.014629,0.9381,0.042135,0.049123,0.9147,0.00762,0.055585,0.9631,0.071509,0.054941,0.9508,-0.019733,-0.007542,0.8613,0.044968,-0.010869,0.9249,-0.102243,-0.022306,0.7471,0.062445,-0.023807,0.8842,0.043025,0.08366,0.9468,0.006823,0.083854,0.8889,0.074008,0.086251,1.0198,0.034953,0.115883,0.9907,-0.035067,0.077124,0.7913,0.087604,0.083253,0.8538,0.031429,0.125929,0.9735,-0.075097,0.084304,0.721,0.092777,0.086416,0.738,0.029062,0.132781,0.9157,0.027555,0.136749,0.8942,-0.024203,0.125409,0.8833,0.064811,0.127543,0.8521,0.030078,0.129631,0.9628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/coverr-GILyJwszFN__sitting-on-the-couch-with-dog/coverr-GILyJwszFN__sitting-on-the-couch-with-dog_t0_000240.jpg,danek,toy poodle,relaxed,-0.167785,-0.20125,0.5065,0.076026,-0.184479,0.744,-0.20449,-0.128848,0.5841,0.099431,-0.106842,0.7808,-0.19993,-0.040112,0.7068,0.10537,-0.019994,0.8467,-0.274626,0.026107,0.891,0.150612,0.063331,0.9677,-0.337844,-0.088111,0.5791,0.1677,-0.020434,0.9202,-0.31911,-0.193537,0.6003,0.148683,-0.109919,0.829,-0.202414,-0.23525,0.4545,0.09909,-0.199177,0.66,-0.042593,-0.139812,0.6323,0.01403,-0.139023,0.6294,-0.059378,-0.057196,0.9274,0.039638,-0.057222,0.9714,-0.108543,-0.06576,0.8796,0.072511,-0.065763,0.9342,-0.083359,-0.078748,0.9603,0.054363,-0.075282,0.9872,-0.085413,-0.047491,0.9641,0.058193,-0.047911,0.9647,0.012863,-0.005838,0.9426,0.03294,0.055956,0.9497,0.001442,0.063833,0.9329,0.061485,0.060375,0.9278,-0.019102,0.002396,0.9016,0.042693,-0.001218,0.9084,-0.085943,-0.008008,0.8656,0.062134,-0.009663,0.9534,0.036085,0.089901,0.9448,0.002758,0.091177,0.9211,0.065866,0.09035,1.0086,0.033201,0.118553,0.9989,-0.036739,0.086454,0.8699,0.082436,0.08397,0.8786,0.032038,0.126593,0.9636,-0.074117,0.096625,0.5723,0.091327,0.087936,0.7525,0.031115,0.132537,0.944,0.030423,0.136061,0.9203,-0.022244,0.131019,0.825,0.066511,0.127051,0.9134,0.031465,0.129762,0.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/coverr-GILyJwszFN__sitting-on-the-couch-with-dog/coverr-GILyJwszFN__sitting-on-the-couch-with-dog_t0_000312.jpg,danek,toy poodle,relaxed,-0.176909,-0.212112,0.3518,0.077659,-0.192929,0.6618,-0.214795,-0.135968,0.5542,0.099884,-0.113042,0.7859,-0.206752,-0.0475,0.7,0.10055,-0.022489,0.7747,-0.288366,0.018211,0.7901,0.142694,0.058226,0.9605,-0.32706,-0.091738,0.5675,0.157474,-0.021204,0.8779,-0.326065,-0.209057,0.5264,0.142969,-0.112105,0.7596,-0.2161,-0.251497,0.3956,0.100217,-0.206591,0.503,-0.042518,-0.147546,0.653,0.015885,-0.144669,0.6408,-0.060589,-0.064883,0.8879,0.039825,-0.059755,0.9673,-0.110635,-0.073042,0.8754,0.070856,-0.068367,0.9553,-0.08455,-0.086561,0.9241,0.05401,-0.077144,0.9452,-0.087095,-0.055203,0.9935,0.057342,-0.051393,0.9538,0.013342,-0.007333,0.952,0.034445,0.058292,0.9548,0.002922,0.066503,0.9136,0.062144,0.061585,0.9232,-0.019694,0.001074,0.8879,0.043294,-0.003309,0.8683,-0.089228,-0.0153,0.8224,0.062052,-0.016806,0.9453,0.036977,0.092406,0.9591,0.004279,0.093848,0.9041,0.06594,0.092209,1.0034,0.03343,0.120801,0.9823,-0.035846,0.08698,0.8619,0.082391,0.082907,0.8562,0.032194,0.127999,0.9683,-0.074233,0.096214,0.5716,0.091906,0.081289,0.7407,0.031204,0.133663,0.9467,0.030502,0.137021,0.8994,-0.021782,0.131436,0.8336,0.065711,0.12492,0.9153,0.031541,0.13104,0.9715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/coverr-GILyJwszFN__sitting-on-the-couch-with-dog/coverr-GILyJwszFN__sitting-on-the-couch-with-dog_t0_000384.jpg,danek,toy poodle,relaxed,-0.177431,-0.214036,0.4279,0.075846,-0.191793,0.7678,-0.217747,-0.136469,0.6189,0.097628,-0.11286,0.7688,-0.20643,-0.046509,0.6173,0.097702,-0.019096,0.8823,-0.288776,0.016352,0.7399,0.140048,0.058914,0.9609,-0.330435,-0.090905,0.4906,0.152642,-0.019035,0.8812,-0.328563,-0.206765,0.5438,0.139116,-0.111149,0.8189,-0.217321,-0.256149,0.329,0.097876,-0.205845,0.6132,-0.042197,-0.147347,0.6617,0.015298,-0.144775,0.6629,-0.061278,-0.062546,0.9214,0.038141,-0.057983,0.9591,-0.113077,-0.071954,0.9566,0.068943,-0.065143,0.9595,-0.085894,-0.086086,0.9359,0.052596,-0.074902,0.9915,-0.088983,-0.052681,0.9765,0.055398,-0.049005,0.9608,0.012427,-0.004541,0.9337,0.033717,0.061062,0.9265,0.002331,0.069381,0.8934,0.061016,0.064511,0.9496,-0.020203,0.00353,0.8719,0.042027,-0.000475,0.9033,-0.090663,-0.011935,0.8744,0.060423,-0.01467,0.9692,0.03619,0.095314,0.9377,0.003622,0.096391,0.911,0.065008,0.095141,0.9817,0.032475,0.123621,0.9935,-0.03605,0.089558,0.8211,0.081289,0.085941,0.8485,0.030961,0.131277,0.9543,-0.074539,0.098028,0.6371,0.090491,0.082924,0.7192,0.029716,0.137384,0.9252,0.028912,0.140902,0.9098,-0.02226,0.134003,0.8627,0.064557,0.128948,0.8964,0.030172,0.134568,0.9393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/coverr-GILyJwszFN__sitting-on-the-couch-with-dog/coverr-GILyJwszFN__sitting-on-the-couch-with-dog_t0_000480.jpg,danek,toy poodle,relaxed,-0.146814,-0.201814,0.5746,0.078603,-0.177136,0.4969,-0.188173,-0.124453,0.8114,0.103765,-0.118124,0.5557,-0.196756,-0.039989,0.7606,0.111928,-0.017156,0.7518,-0.29042,0.019183,0.919,0.151432,0.05279,0.91,-0.326589,-0.09313,0.7466,0.159063,-0.023145,0.7878,-0.292402,-0.197185,0.6309,0.14211,-0.107339,0.5738,-0.169276,-0.234384,0.643,0.088923,-0.189645,0.486,-0.03124,-0.131372,0.5952,0.022367,-0.128839,0.6141,-0.043511,-0.056861,0.9295,0.048378,-0.050514,0.9837,-0.093984,-0.067509,0.8762,0.078653,-0.056763,0.8362,-0.067464,-0.077142,0.9553,0.061985,-0.065625,0.9339,-0.070286,-0.048414,0.9247,0.065467,-0.04203,0.9069,0.023511,-0.003281,0.9214,0.043799,0.056998,0.9162,0.013978,0.064585,0.8897,0.069977,0.060989,0.9326,-0.006653,0.004128,0.9004,0.05154,0.000733,0.8972,-0.072755,-0.009252,0.8476,0.070426,-0.008997,0.9126,0.045973,0.089016,0.9169,0.014658,0.089764,0.899,0.073195,0.08994,1.0014,0.041954,0.115265,0.9419,-0.021383,0.08296,0.8065,0.088992,0.084792,0.8466,0.040164,0.122809,0.9431,-0.058567,0.093189,0.5236,0.096936,0.08273,0.7489,0.038881,0.128388,0.9185,0.038042,0.131678,0.9309,-0.008536,0.124676,0.8796,0.071032,0.122119,0.8323,0.039396,0.125808,0.9482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/coverr-Li7ehoYpwm__golden-retriever-in-the-nature/coverr-Li7ehoYpwm__golden-retriever-in-the-nature_t0_000144.jpg,masha,golden retriever,relaxed,-0.129037,-0.121528,1.0249,0.119707,-0.176838,0.9773,-0.144562,-0.057946,0.9179,0.169873,-0.116456,0.8931,-0.134644,0.007413,0.8602,0.183952,-0.03279,0.8157,-0.154151,0.108372,0.8541,0.237322,0.044287,0.9008,-0.195603,0.021461,0.9337,0.255637,-0.048984,0.8658,-0.207083,-0.058353,0.9454,0.255968,-0.146521,0.8557,-0.143824,-0.160172,0.691,0.117829,-0.217235,0.7977,-0.051625,-0.131733,0.8218,0.000329,-0.140714,0.8232,-0.078086,-0.043358,0.988,0.043112,-0.064061,0.9565,-0.114987,-0.04224,0.9569,0.090513,-0.073258,0.9744,-0.098966,-0.059296,0.9577,0.062113,-0.089887,0.9594,-0.097024,-0.030023,0.9954,0.071817,-0.051693,0.9453,-0.012059,-0.009973,0.9404,-0.004946,0.037319,0.9765,-0.037102,0.046979,0.9623,0.029557,0.039827,0.961,-0.044224,0.002046,0.9707,0.023068,-0.009132,0.9707,-0.091769,0.013755,0.9579,0.079851,-0.011063,0.9124,0.000364,0.065128,0.9789,-0.037032,0.068098,0.9241,0.037473,0.064149,0.9388,0.003848,0.093366,0.9728,-0.070149,0.078338,0.8965,0.0722,0.065955,0.8738,0.005514,0.114555,1.0242,-0.099788,0.09042,0.848,0.10157,0.08122,0.7111,0.016318,0.190138,0.9136,0.017909,0.19875,0.9596,-0.053871,0.133755,0.9088,0.060129,0.120442,0.9043,0.01431,0.185915,0.7109,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
DOGS/coverr-cymU5AKro0__girl-touches-a-dog-s-nose/coverr-cymU5AKro0__girl-touches-a-dog-s-nose_t0_000072.jpg,danek,Shetland sheepdog,neutral,-0.09808,-0.139416,0.7592,0.10315,-0.176425,0.8539,-0.136854,-0.104264,0.6958,0.141715,-0.150735,0.7664,-0.155771,-0.072566,0.7274,0.189751,-0.124702,0.8454,-0.186368,-0.034691,0.9393,0.25836,-0.101798,0.9392,-0.219334,-0.076552,0.7024,0.25776,-0.170394,0.8646,-0.172075,-0.089436,0.6308,0.195012,-0.214479,0.8358,-0.112314,-0.090057,0.7782,0.11265,-0.206775,0.7316,-0.043238,-0.096529,0.6739,0.0022,-0.104423,0.652,-0.057287,-0.023684,0.9166,0.042575,-0.045656,0.968,-0.093399,-0.024741,0.9433,0.078317,-0.064874,0.9642,-0.075273,-0.036747,0.9944,0.054414,-0.068205,0.9618,-0.074746,-0.011265,0.9346,0.066526,-0.044907,0.9787,-0.014236,0.021748,0.9266,-0.023833,0.088654,0.9792,-0.046073,0.09682,0.9757,0.004741,0.086655,0.9648,-0.041596,0.033011,0.9531,0.01458,0.019512,0.8457,-0.065424,0.018133,0.9507,0.074846,-0.017788,0.9255,-0.020258,0.114075,0.9393,-0.044405,0.117262,0.9683,0.012038,0.107787,0.9626,-0.011992,0.132801,0.9627,-0.053348,0.114188,0.8433,0.043388,0.092228,0.7626,-0.00819,0.138396,0.9321,-0.059842,0.104611,0.8269,0.09199,0.079616,0.6773,-0.005759,0.142143,0.9484,-0.004534,0.144318,0.9134,-0.036017,0.138534,0.8497,0.044331,0.129109,0.7074,-0.006767,0.140451,0.9458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
