video_name,source_video,platform,license,link,link_type,drive_link,note
angry_001.mp4,12774662_2560_1440_50fps.mp4,Pexels,Pexels License,https://www.pexels.com/video/12774662/,zrodlo,https://drive.google.com/file/d/1Zjubfy_6pHzpvmqaAwZ3uMOuXT5fAmIp/view,
angry_002.mp4,14173020_1920_1080_24fps.mp4,Pexels,Pexels License,https://www.pexels.com/video/14173020/,zrodlo,https://drive.google.com/file/d/14dFCg-3G1cqqQ0mTk0XFLgcPuxph5DBi/view,
angry_003.mov,142_RG9nc18wNF9IRA.mov,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1WZjH6rNiQDsJxrXhRcTlf9i_RG50Aidx/view,kopia_drive,https://drive.google.com/file/d/1WZjH6rNiQDsJxrXhRcTlf9i_RG50Aidx/view,
angry_004.mp4,15355190_1080_1920_25fps.mp4,Pexels,Pexels License,https://www.pexels.com/video/15355190/,zrodlo,https://drive.google.com/file/d/13UJ6c2Iz4VnpaiNIE7rDfuA6dkobYODn/view,
angry_005.mp4,15659456_2160_3840_24fps.mp4,Pexels,Pexels License,https://www.pexels.com/video/15659456/,zrodlo,https://drive.google.com/file/d/10hdNxiXsgx3gfhWrPQtmXDA1mCouzfWY/view,
angry_006.mp4,16257945-hd_1080_1920_60fps.mp4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1AZtdfsr5x3WTHHtriP8iXmMJrT3seZxS/view,kopia_drive,https://drive.google.com/file/d/1AZtdfsr5x3WTHHtriP8iXmMJrT3seZxS/view,
angry_007.mp4,368fb53ab6d45f963abeadb226527691,TikTok,fragment badawczy <25% utworu,https://drive.google.com/file/d/11T2RES5eqAR5YJxBdsXULyZ23QEGjicA/view,kopia_drive,https://drive.google.com/file/d/11T2RES5eqAR5YJxBdsXULyZ23QEGjicA/view,plik z TikToka bez ID w nazwie - brak mozliwosci odtworzenia linku
angry_008.mp4,37d9031d59fa3ca54fc5db141f602507,TikTok,fragment badawczy <25% utworu,https://drive.google.com/file/d/1-9BE2QkUcmZ1shmAgRf_Oam9LZfRC-vf/view,kopia_drive,https://drive.google.com/file/d/1-9BE2QkUcmZ1shmAgRf_Oam9LZfRC-vf/view,plik z TikToka bez ID w nazwie - brak mozliwosci odtworzenia linku
angry_009.mp4,4763071-hd_1920_1080_25fps.mp4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1Ew6UY1f-BhL2bUxhbthzPBGgddRJS7kN/view,kopia_drive,https://drive.google.com/file/d/1Ew6UY1f-BhL2bUxhbthzPBGgddRJS7kN/view,
angry_010.mp4,4MTnLmOIJVA_000418,YouTube,fragment badawczy <25% utworu,https://www.youtube.com/watch?v=4MTnLmOIJVA,zrodlo,https://drive.google.com/file/d/1R7VaT6d9xUZb2y86VMleQ70ZaKUSMwYF/view,
angry_011.mp4,5479435-uhd_3840_2160_25fps.mp4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1zkuuw13V-YQ4f-rTgGweUWPXnJfOGMot/view,kopia_drive,https://drive.google.com/file/d/1zkuuw13V-YQ4f-rTgGweUWPXnJfOGMot/view,
