video_name,emotion,resolution_tier,source_video,video_width,video_height,content_width,content_height,blurred_bars,frame_start,frame_end,drive_path,drive_file_id
angry_001.mp4,angry,high_resolution,12774662_2560_1440_50fps.mp4,2560,1440,2560,1440,,high_resolution/angry/angry_001_1.jpg,high_resolution/angry/angry_001_2.jpg,DATASET_final_videos/high_resolution/angry/angry_001.mp4,1Zjubfy_6pHzpvmqaAwZ3uMOuXT5fAmIp
angry_002.mp4,angry,high_resolution,14173020_1920_1080_24fps.mp4,1920,1080,1920,1080,,high_resolution/angry/angry_002_1.jpg,high_resolution/angry/angry_002_2.jpg,DATASET_final_videos/high_resolution/angry/angry_002.mp4,14dFCg-3G1cqqQ0mTk0XFLgcPuxph5DBi
angry_003.mov,angry,high_resolution,142_RG9nc18wNF9IRA.mov,1920,1080,1920,1080,,high_resolution/angry/angry_003_1.jpg,high_resolution/angry/angry_003_2.jpg,DATASET_final_videos/high_resolution/angry/angry_003.mov,1WZjH6rNiQDsJxrXhRcTlf9i_RG50Aidx
angry_004.mp4,angry,high_resolution,15355190_1080_1920_25fps.mp4,1080,1920,1080,1920,,high_resolution/angry/angry_004_1.jpg,high_resolution/angry/angry_004_2.jpg,DATASET_final_videos/high_resolution/angry/angry_004.mp4,13UJ6c2Iz4VnpaiNIE7rDfuA6dkobYODn
angry_005.mp4,angry,high_resolution,15659456_2160_3840_24fps.mp4,2160,3840,2160,3840,,high_resolution/angry/angry_005_1.jpg,high_resolution/angry/angry_005_2.jpg,DATASET_final_videos/high_resolution/angry/angry_005.mp4,10hdNxiXsgx3gfhWrPQtmXDA1mCouzfWY
angry_006.mp4,angry,high_resolution,16257945-hd_1080_1920_60fps.mp4,1080,1920,1080,1920,,high_resolution/angry/angry_006_1.jpg,high_resolution/angry/angry_006_2.jpg,DATASET_final_videos/high_resolution/angry/angry_006.mp4,1AZtdfsr5x3WTHHtriP8iXmMJrT3seZxS
angry_007.mp4,angry,low_resolution,368fb53ab6d45f963abeadb226527691,576,1024,576,1024,,low_resolution/angry/angry_007_1.jpg,low_resolution/angry/angry_007_2.jpg,DATASET_final_videos/low_resolution/angry/angry_007.mp4,11T2RES5eqAR5YJxBdsXULyZ23QEGjicA
angry_008.mp4,angry,low_resolution,37d9031d59fa3ca54fc5db141f602507,576,1024,576,1024,,low_resolution/angry/angry_008_1.jpg,low_resolution/angry/angry_008_2.jpg,DATASET_final_videos/low_resolution/angry/angry_008.mp4,1-9BE2QkUcmZ1shmAgRf_Oam9LZfRC-vf
angry_009.mp4,angry,high_resolution,4763071-hd_1920_1080_25fps.mp4,1280,720,1280,720,,high_resolution/angry/angry_009_1.jpg,high_resolution/angry/angry_009_2.jpg,DATASET_final_videos/high_resolution/angry/angry_009.mp4,1Ew6UY1f-BhL2bUxhbthzPBGgddRJS7kN
angry_010.mp4,angry,low_resolution,4MTnLmOIJVA_000418,360,640,360,640,,low_resolution/angry/angry_010_1.jpg,low_resolution/angry/angry_010_2.jpg,DATASET_final_videos/low_resolution/angry/angry_010.mp4,1R7VaT6d9xUZb2y86VMleQ70ZaKUSMwYF
angry_011.mp4,angry,high_resolution,5479435-uhd_3840_2160_25fps.mp4,3840,2160,3840,2160,,high_resolution/angry/angry_011_1.jpg,high_resolution/angry/angry_011_2.jpg,DATASET_final_videos/high_resolution/angry/angry_011.mp4,1zkuuw13V-YQ4f-rTgGweUWPXnJfOGMot
angry_012.mp4,angry,high_resolution,5496003-uhd_3840_2160_24fps.mp4,3840,2160,3840,2160,,high_resolution/angry/angry_012_1.jpg,high_resolution/angry/angry_012_2.jpg,DATASET_final_videos/high_resolution/angry/angry_012.mp4,1IR_axSMdGs9SIZ1mL9dUfH3IJlh6xKhl
angry_013.mp4,angry,low_resolution,5nsFcoiOc3Y_000006,406,720,406,720,,low_resolution/angry/angry_013_1.jpg,low_resolution/angry/angry_013_2.jpg,DATASET_final_videos/low_resolution/angry/angry_013.mp4,1OGEGP8vbFpTo1I0eMmFR6-86kIBApcJ7
