emotion,video,folder,fid,drive_link
angry,11607681-uhd_3840_2160_24fps.mp4,angry_dogs_masha,1IxqsqSiIbRyuKJY_VRWwCCkPa9R27U7j,https://drive.google.com/uc?id=1IxqsqSiIbRyuKJY_VRWwCCkPa9R27U7j
angry,12774662_2560_1440_50fps.mp4,angry_dogs_masha,16_zp1tNsnwR7UlT6bSZqe8GyYdY4rF5U,https://drive.google.com/uc?id=16_zp1tNsnwR7UlT6bSZqe8GyYdY4rF5U
angry,14173020_1920_1080_24fps.mp4,angry_dogs_masha,1Hv4vrS15OiNE0XSFN6XhVHghIKag2Qv9,https://drive.google.com/uc?id=1Hv4vrS15OiNE0XSFN6XhVHghIKag2Qv9
angry,142_RG9nc18wNF9IRA.mov,angry_dogs_masha,1JYjPpKB18S0qY7Oe7LUu5f8UCjHYIl6z,https://drive.google.com/uc?id=1JYjPpKB18S0qY7Oe7LUu5f8UCjHYIl6z
angry,15355190_1080_1920_25fps.mp4,angry_dogs_masha,1g12qHiGvUxMncSB7jIGBNQeYcJTZ9x3V,https://drive.google.com/uc?id=1g12qHiGvUxMncSB7jIGBNQeYcJTZ9x3V
angry,15659456_2160_3840_24fps.mp4,angry_dogs_masha,1VSbWd_HwUC95zLBj9UHDMuFjE50ZBxWp,https://drive.google.com/uc?id=1VSbWd_HwUC95zLBj9UHDMuFjE50ZBxWp
angry,16257945-hd_1080_1920_60fps.mp4,angry_dogs_masha,1fPdpVM9buZxQK66NUxcMX5PiogoX7BM5,https://drive.google.com/uc?id=1fPdpVM9buZxQK66NUxcMX5PiogoX7BM5
angry,4763071-hd_1920_1080_25fps.mp4,angry_dogs_masha,1KvKa2_TPOvkuHuKXhOCgyjCRaMzExAbK,https://drive.google.com/uc?id=1KvKa2_TPOvkuHuKXhOCgyjCRaMzExAbK
angry,5479435-uhd_3840_2160_25fps.mp4,angry_dogs_masha,16XQxq9zA112jVZNI3drAQohtn_L1R-ks,https://drive.google.com/uc?id=16XQxq9zA112jVZNI3drAQohtn_L1R-ks
angry,5496003-uhd_3840_2160_24fps.mp4,angry_dogs_masha,1ftxW6MvjCJDtiYLS5dHCkhYvKRJXsdIS,https://drive.google.com/uc?id=1ftxW6MvjCJDtiYLS5dHCkhYvKRJXsdIS
angry,6_c29iYWthIHRyeWFwa2EgMg.mov,angry_dogs_masha,1mC6pD5VljgjtIDojP6hB_NEaDzuDyhJj,https://drive.google.com/uc?id=1mC6pD5VljgjtIDojP6hB_NEaDzuDyhJj
angry,IMG_8093.MP4,new_angry_dogs,15WhMmlyUZyAuz4ZD6N3EqqTtwR_88pqt,https://drive.google.com/uc?id=15WhMmlyUZyAuz4ZD6N3EqqTtwR_88pqt
angry,IMG_8094.MP4,new_angry_dogs,1QcszwXdY7X35y1LzCKX-QgFA1orC0C9W,https://drive.google.com/uc?id=1QcszwXdY7X35y1LzCKX-QgFA1orC0C9W
angry,IMG_8095.MP4,new_angry_dogs,1GuH6Hvbz5ieHz_NGt2GuE3ylyk2RT1Xl,https://drive.google.com/uc?id=1GuH6Hvbz5ieHz_NGt2GuE3ylyk2RT1Xl
angry,IMG_8096.MP4,new_angry_dogs,1q5gV_VI1fWqlmWMoSgpJ46jGNMl-qRLV,https://drive.google.com/uc?id=1q5gV_VI1fWqlmWMoSgpJ46jGNMl-qRLV
angry,IMG_8097.MP4,new_angry_dogs,10WF1OCfnGCxIW9Kf8fRd6rRavi50v0_z,https://drive.google.com/uc?id=10WF1OCfnGCxIW9Kf8fRd6rRavi50v0_z
angry,IMG_8099.MP4,new_angry_dogs,136x939B_wFzpTOIvWFqByqlzfx70Sp8G,https://drive.google.com/uc?id=136x939B_wFzpTOIvWFqByqlzfx70Sp8G
angry,IMG_8100.MP4,new_angry_dogs,17yopG8EQM_rOp6TR1dlxCjhvolK6pMJy,https://drive.google.com/uc?id=17yopG8EQM_rOp6TR1dlxCjhvolK6pMJy
angry,IMG_8101.MP4,new_angry_dogs,1GcGueYk8wNwVZt0qAWkOnG358kqmrRRu,https://drive.google.com/uc?id=1GcGueYk8wNwVZt0qAWkOnG358kqmrRRu
angry,IMG_8102.MP4,new_angry_dogs,1g1UVQvTsMYOLonSrYWJCwMIyxAY0QPIx,https://drive.google.com/uc?id=1g1UVQvTsMYOLonSrYWJCwMIyxAY0QPIx
angry,IMG_8103.MP4,new_angry_dogs,15sBD7wXhq76ED97OFakohejvUPHtr37e,https://drive.google.com/uc?id=15sBD7wXhq76ED97OFakohejvUPHtr37e
angry,IMG_8104.MP4,new_angry_dogs,1lqsnv0SIAsaRC1JfEPj5F09j-cgPRF9V,https://drive.google.com/uc?id=1lqsnv0SIAsaRC1JfEPj5F09j-cgPRF9V
angry,IMG_8105.MP4,new_angry_dogs,1odcwAQTPX5WGzc3KdL5zaynDUqqIdyJ1,https://drive.google.com/uc?id=1odcwAQTPX5WGzc3KdL5zaynDUqqIdyJ1
angry,IMG_8106.MP4,new_angry_dogs,17Btp_uHlnqCkWy-HdF3kev0RQsjkJMkN,https://drive.google.com/uc?id=17Btp_uHlnqCkWy-HdF3kev0RQsjkJMkN
angry,IMG_8107.MP4,new_angry_dogs,1jlAzpkr3m0mantCHq39cpBpQZY-k2mrR,https://drive.google.com/uc?id=1jlAzpkr3m0mantCHq39cpBpQZY-k2mrR
angry,IMG_8108.MP4,new_angry_dogs,1JNklxlbqsgVFvC9NrMl3mO_VUWYgHw0H,https://drive.google.com/uc?id=1JNklxlbqsgVFvC9NrMl3mO_VUWYgHw0H
angry,IMG_8109.MP4,new_angry_dogs,1LkxcFmX7BQmw1QOxmvfBXfuvlO9QOYRk,https://drive.google.com/uc?id=1LkxcFmX7BQmw1QOxmvfBXfuvlO9QOYRk
angry,IMG_8110.MP4,new_angry_dogs,1-tgXQsNuQpI4mw9gF6aiG4f9Eup4MYMn,https://drive.google.com/uc?id=1-tgXQsNuQpI4mw9gF6aiG4f9Eup4MYMn
angry,IMG_8111.MP4,new_angry_dogs,1vxBqmPUXSx_GCYiKuXnIh81UHLgV3g85,https://drive.google.com/uc?id=1vxBqmPUXSx_GCYiKuXnIh81UHLgV3g85
angry,IMG_8112.MP4,new_angry_dogs,1QUYKbwp2KxkBjAJf3LAx3m10lD8UFvb4,https://drive.google.com/uc?id=1QUYKbwp2KxkBjAJf3LAx3m10lD8UFvb4
angry,IMG_8113.MP4,new_angry_dogs,1jv25B2g5a31GZqmQ9Q1hYrbgYlmE_bCg,https://drive.google.com/uc?id=1jv25B2g5a31GZqmQ9Q1hYrbgYlmE_bCg
angry,IMG_8114.MP4,new_angry_dogs,1bkQQtSzgkHrcdX2pvvlQPI2KUXAqCFqx,https://drive.google.com/uc?id=1bkQQtSzgkHrcdX2pvvlQPI2KUXAqCFqx
angry,IMG_8115.MP4,new_angry_dogs,16jjrgsID9lg39dOZdm4h2h65n31TaEhT,https://drive.google.com/uc?id=16jjrgsID9lg39dOZdm4h2h65n31TaEhT
